Country,Total Implied Carbon Emission,Country Abbreviation
Ethiopia,2.43E-05,ETH
Wallis and Futuna Isds,2.11E-05,WLF
Greenland,2.08E-05,GRL
Guinea,1.99E-05,GIN
Saint Kitts and Nevis,1.85E-05,KNA
Belarus,1.83E-05,BLR
Bolivia (Plurinational State of),1.80E-05,BOL
Mauritania,1.59E-05,MRT
Guyana,1.46E-05,GUY
Gambia,1.30E-05,GMB
Sri Lanka,1.25E-05,LKA
Anguilla,1.15E-05,AIA
FS Micronesia,1.14E-05,FSM
United Rep. of Tanzania,1.12E-05,TZA
N. Mariana Isds,1.10E-05,MNP
Nicaragua,1.08E-05,NIC
Haiti,1.05E-05,HTI
Myanmar,1.00E-05,MMR
Namibia,9.99E-06,NAM
Sudan,9.95E-06,SDN
Lao People's Dem. Rep.,8.05E-06,LAO
Nauru,7.20E-06,NRU
Guam,7.18E-06,GUM
Saint Vincent and the Grenadines,7.01E-06,VCT
Tajikistan,6.68E-06,TJK
Kiribati,5.22E-06,KIR
Yemen,5.13E-06,YEM
Rep. of Moldova,4.30E-06,MDA
Eritrea,3.55E-06,ERI
Benin,3.46E-06,BEN
Belize,3.25E-06,BLZ
Cameroon,3.12E-06,CMR
South Sudan,2.93E-06,SSD
Niger,2.75E-06,NER
Dominica,2.70E-06,DMA
Falkland Isds (Malvinas),2.61E-06,FLK
Mozambique,2.25E-06,MOZ
Nigeria,2.24E-06,NGA
Mongolia,2.23E-06,MNG
Christmas Isds,2.15E-06,CXR
Nepal,2.06E-06,NPL
Niue,1.70E-06,NIU
Afghanistan,1.68E-06,AFG
Fr. South Antarctic Terr.,1.33E-06,ATF
Bonaire,1.24E-06,BES
Chad,1.06E-06,TCD
Norfolk Isds,8.96E-07,NFK
Uganda,8.70E-07,UGA
Sao Tome and Principe,7.58E-07,STP
Cocos Isds,4.93E-07,CCK
Togo,4.62E-07,TGO
Burkina Faso,3.26E-07,BFA
Venezuela,2.42E-07,VEN
Vanuatu,1.89E-07,VUT
Guinea-Bissau,1.80E-07,GNB
Montserrat,5.95E-08,MSR
Madagascar,5.88E-08,MDG
Br. Indian Ocean Terr.,2.21E-09,IOT
Timor-Leste,8.44E-10,TLS
Burundi,7.79E-10,BDI
Botswana,0,BWA
Eswatini,0,Eswatini
Lesotho,0,LSO
Malawi,0,MWI
Rwanda,0,RWA
Saint Helena,0,SHN
Tuvalu,0,TUV
Zambia,0,ZMB
Zimbabwe,0,ZWE
