Importer Country,Exporter Country,Imported Quantity (metric tons),Total Export (metric tons),Land Use Emission,Implied Carbon Emission,% 
Canada,Mexico,9144.963,313264.728,0.200751141,0.005860416,2.91924418
Indonesia,Australia,76865.571,941099.386,0.069245917,0.005655754,8.167635357
France,Ireland,52854.998,371070.749,0.038906305,0.005541781,14.24391496
Viet Nam,Canada,11017.406,439667.712,0.220850951,0.00553419,2.50584839
Netherlands,Uruguay,16869.648,383468.309,0.120259804,0.005290504,4.399228856
Singapore,Brazil,21067.14,1987220.954,0.49538451,0.005251723,1.060130645
United Arab Emirates,Pakistan,40433.865,76720.167,0.009946459,0.005242087,52.70304739
Indonesia,Brazil,20438.27,1987220.954,0.49538451,0.005094956,1.028485126
France,Netherlands,78961.271,412118.516,0.025941902,0.004970428,19.15984418
Japan,New Zealand,30947.591,473179.422,0.075052496,0.004908696,6.540350104
Germany,Austria,43894.105,96789.307,0.010657402,0.004833149,45.35016132
Iran,United Arab Emirates,29701.21,36390.994,0.005838901,0.004765531,81.61691729
Rep. of Korea,Mexico,7216.702,313264.728,0.200751141,0.004624718,2.303706956
Indonesia,India,106516.086,943702.03,0.039250948,0.004430273,11.28704713
Thailand,Argentina,6751.21,623231.507,0.40577377,0.00439558,1.083258782
"Other Asia, nes",Paraguay,38869.87,338328.171,0.036215614,0.004160742,11.48880701
Brazil,Paraguay,38869.133,338328.171,0.036215614,0.004160663,11.48858887
Netherlands,Brazil,16388.643,1987220.954,0.49538451,0.004085444,0.824701604
Brazil,Argentina,6129.925,623231.507,0.40577377,0.003991074,0.983571215
Iraq,India,92700.71,943702.03,0.039250948,0.003855656,9.823090133
Netherlands,Ireland,35717.282,371070.749,0.038906305,0.003744912,9.625463019
Italy,France,54738.426,197278.824,0.013490778,0.00374325,27.74673188
Italy,Spain,44292.815,221643.244,0.01796596,0.003590287,19.98383053
Rep. of Korea,New Zealand,21808.794,473179.422,0.075052496,0.003459162,4.608989953
Italy,Netherlands,53944.652,412118.516,0.025941902,0.00339569,13.08959536
Italy,Poland,67271.316,355987.846,0.017630366,0.003331625,18.89708359
Israel,Uruguay,9813.508,383468.309,0.120259804,0.003077622,2.559144367
Germany,Poland,60616.988,355987.846,0.017630366,0.003002068,17.02782574
Italy,Argentina,4475.551,623231.507,0.40577377,0.002913943,0.718120099
El Salvador,Nicaragua,24512.403,117466.685,0.013772478,0.002873977,20.86753742
Viet Nam,India,67262.16,943702.03,0.039250948,0.002797603,7.127478806
Mexico,Nicaragua,23544.913,117466.685,0.013772478,0.002760543,20.04390931
Malaysia,Brazil,10994.806,1987220.954,0.49538451,0.002740841,0.553275475
"China, Hong Kong SAR",USA,24577.015,1056649.139,0.116995059,0.002721234,2.325939252
France,United Kingdom,35763.827,100651.479,0.007527597,0.002674731,35.53233522
Canada,Uruguay,8516.887,383468.309,0.120259804,0.002670988,2.221014762
Jordan,Brazil,10661.825,1987220.954,0.49538451,0.002657834,0.5365194
"Other Asia, nes",New Zealand,16505.182,473179.422,0.075052496,0.00261794,3.488145151
Italy,Ireland,24958.242,371070.749,0.038906305,0.002616841,6.72600752
Netherlands,Belgium,36055.086,111310.97,0.007881141,0.002552805,32.39131237
Philippines,Australia,33993.098,941099.386,0.069245917,0.002501206,3.612062788
Saudi Arabia,India,60094.505,943702.03,0.039250948,0.002499482,6.367953202
France,Germany,31164.951,279955.074,0.022238411,0.002475608,11.1321263
Libya,Brazil,9767.364,1987220.954,0.49538451,0.002434858,0.491508707
China,Chile,22296.646,24577.126,0.002676718,0.002428349,90.72113685
Sweden,Ireland,23135,371070.749,0.038906305,0.002425676,6.234660423
Netherlands,France,35457.769,197278.824,0.013490778,0.002424755,17.973426
Germany,France,35294.977,197278.824,0.013490778,0.002413623,17.89091037
Spain,Brazil,9574.419,1987220.954,0.49538451,0.00238676,0.481799481
Italy,Germany,29556.063,279955.074,0.022238411,0.002347805,10.55743146
Greece,France,32352.033,197278.824,0.013490778,0.002212372,16.39914318
Brazil,Uruguay,6920.562,383468.309,0.120259804,0.002170363,1.804728536
United Arab Emirates,India,50165.203,943702.03,0.039250948,0.002086497,5.315787532
Philippines,USA,18622.332,1056649.139,0.116995059,0.002061915,1.76239494
Philippines,India,48858.42,943702.03,0.039250948,0.002032145,5.177314443
Germany,Ireland,19222.551,371070.749,0.038906305,0.00201546,5.180291472
Chile,Uruguay,6161.425,383468.309,0.120259804,0.001932289,1.60676214
Austria,Germany,23235.816,279955.074,0.022238411,0.001845752,8.29983761
Albania,Brazil,7287.255,1987220.954,0.49538451,0.001816604,0.366705854
Denmark,Germany,22708.391,279955.074,0.022238411,0.001803856,8.111442854
Japan,Uruguay,5671.173,383468.309,0.120259804,0.001778541,1.478915598
"China, Hong Kong SAR",Canada,3476.233,439667.712,0.220850951,0.001746158,0.79064998
Greece,Spain,21327.988,221643.244,0.01796596,0.001728804,9.622664194
Netherlands,Spain,20752.623,221643.244,0.01796596,0.001682166,9.363073279
Canada,New Zealand,10591.147,473179.422,0.075052496,0.001679896,2.238294646
Netherlands,Poland,33854.993,355987.846,0.017630366,0.001676675,9.510154242
Israel,Paraguay,15655.398,338328.171,0.036215614,0.001675799,4.627283138
"Other Asia, nes",Australia,22709.107,941099.386,0.069245917,0.001670932,2.413040469
Ireland,United Kingdom,21614.847,100651.479,0.007527597,0.001616547,21.47494081
China,Russian Federation,20560.04,27097.949,0.002122105,0.001610106,75.87306
France,Belgium,22280.921,111310.97,0.007881141,0.001577554,20.01682244
Indonesia,USA,13727.391,1056649.139,0.116995059,0.001519934,1.299143753
Kuwait,Pakistan,11710.811,76720.167,0.009946459,0.001518259,15.26431668
France,Spain,17992.649,221643.244,0.01796596,0.001458448,8.117840627
Italy,Uruguay,4638.282,383468.309,0.120259804,0.001454615,1.209560428
Uzbekistan,Kazakhstan,18043.363,18485.077,0.00148823,0.001452668,97.61045
State of Palestine,Brazil,5761.046,1987220.954,0.49538451,0.001436143,0.289904705
Qatar,Brazil,5755.503,1987220.954,0.49538451,0.001434761,0.289625729
Germany,Belgium,19725.612,111310.97,0.007881141,0.001396631,17.72117768
"China, Hong Kong SAR",Mexico,2177.25,313264.728,0.200751141,0.001395259,0.695019213
France,Poland,27561.478,355987.846,0.017630366,0.001364987,7.742249934
"Other Asia, nes","China, Hong Kong SAR",22300.39,44189.752,0.002686282,0.001355634,50.46506659
Netherlands,Austria,12283.978,96789.307,0.010657402,0.00135258,12.69146083
Belgium,France,19452.467,197278.824,0.013490778,0.001330244,9.860395005
Saudi Arabia,Pakistan,10220.667,76720.167,0.009946459,0.001325068,13.32200736
Spain,Germany,16654.307,279955.074,0.022238411,0.001322946,5.948923239
Netherlands,USA,11751.365,1056649.139,0.116995059,0.001301143,1.112135001
T??rkiye,Brazil,5192.275,1987220.954,0.49538451,0.001294357,0.261283301
Viet Nam,Australia,17585.003,941099.386,0.069245917,0.001293901,1.868559268
Belgium,Netherlands,19711.082,412118.516,0.025941902,0.001240767,4.782868272
Lebanon,Brazil,4847.393,1987220.954,0.49538451,0.001208383,0.243928297
Spain,Netherlands,19160.738,412118.516,0.025941902,0.001206124,4.649327563
United Kingdom,Brazil,4832.612,1987220.954,0.49538451,0.001204698,0.243184431
Viet Nam,USA,10667.23,1056649.139,0.116995059,0.001181105,1.009534086
Denmark,Netherlands,18624.385,412118.516,0.025941902,0.001172362,4.519182903
Netherlands,United Kingdom,15486.364,100651.479,0.007527597,0.001158206,15.38613186
Indonesia,New Zealand,7267.668,473179.422,0.075052496,0.001152748,1.53592227
Spain,Poland,22908.681,355987.846,0.017630366,0.001134557,6.435243602
China,Costa Rica,18571.029,26728.16,0.001628467,0.001131477,69.48111322
Germany,Brazil,4427.972,1987220.954,0.49538451,0.001103827,0.222822268
Portugal,Netherlands,17321.933,412118.516,0.025941902,0.001090375,4.203142083
United Kingdom,Germany,13582.839,279955.074,0.022238411,0.001078962,4.851794492
China,Bolivia (Plurinational State of),17017.403,19822.915,0.001240397,0.001064845,85.84711185
Saudi Arabia,Canada,2108.194,439667.712,0.220850951,0.001058974,0.479497143
Canada,Brazil,4107.827,1987220.954,0.49538451,0.00102402,0.206712156
Spain,Uruguay,3189.526,383468.309,0.120259804,0.00100027,0.831757551
Serbia,Brazil,3845.282,1987220.954,0.49538451,0.000958571,0.193500398
Malaysia,Argentina,1468.561,623231.507,0.40577377,0.000956151,0.235636473
Spain,Ireland,9111.855,371070.749,0.038906305,0.000955367,2.455558296
Greece,Argentina,1443.419,623231.507,0.40577377,0.000939782,0.231602452
Uruguay,Paraguay,8742.645,338328.171,0.036215614,0.000935838,2.584073267
Australia,New Zealand,5849.571,473179.422,0.075052496,0.000927819,1.236226707
Greece,Netherlands,14682.664,412118.516,0.025941902,0.00092424,3.562730289
Georgia,India,22161.862,943702.03,0.039250948,0.000921768,2.348396783
Dominican Rep.,USA,8251.071,1056649.139,0.116995059,0.000913581,0.780871438
Thailand,Australia,12352.485,941099.386,0.069245917,0.000908894,1.312559699
Russian Federation,Colombia,19511.368,40115.598,0.001837644,0.000893791,48.63787545
United Kingdom,Uruguay,2846.696,383468.309,0.120259804,0.000892755,0.742355276
Germany,Uruguay,2845.348,383468.309,0.120259804,0.000892332,0.742003538
Malaysia,Australia,11997.592,941099.386,0.069245917,0.000882781,1.274849173
Kuwait,Brazil,3512.877,1987220.954,0.49538451,0.000875708,0.176773392
Spain,Argentina,1316.258,623231.507,0.40577377,0.00085699,0.211198964
Qatar,Pakistan,6518.924,76720.167,0.009946459,0.000845152,8.497013862
Guatemala,USA,7542.265,1056649.139,0.116995059,0.0008351,0.713790828
United Kingdom,Poland,16692.849,355987.846,0.017630366,0.000826717,4.689165273
Trinidad and Tobago,Uruguay,2551.434,383468.309,0.120259804,0.000800157,0.66535698
Italy,Austria,7214.32,96789.307,0.010657402,0.000794364,7.453636449
Saudi Arabia,Australia,10794.154,941099.386,0.069245917,0.000794232,1.146973041
Argentina,Brazil,3165.493,1987220.954,0.49538451,0.00078911,0.159292425
Italy,Belgium,11076.58,111310.97,0.007881141,0.000784254,9.951021051
Belgium,Ireland,7453.769,371070.749,0.038906305,0.000781518,2.008718124
Philippines,New Zealand,4922.208,473179.422,0.075052496,0.000780727,1.04024122
Sweden,Netherlands,12334.261,412118.516,0.025941902,0.000776413,2.992891577
Canada,Australia,10433.743,941099.386,0.069245917,0.000767713,1.108676198
"China, Hong Kong SAR",Paraguay,7137.526,338328.171,0.036215614,0.000764021,2.109645304
Guatemala,Nicaragua,6397.546,117466.685,0.013772478,0.000750086,5.446267549
United Kingdom,Netherlands,11608.259,412118.516,0.025941902,0.000730713,2.816728704
Kazakhstan,Belarus,3604.056,45788.254,0.009252847,0.000728304,7.871134149
"China, Hong Kong SAR",Argentina,1111.095,623231.507,0.40577377,0.000723412,0.178279636
United Arab Emirates,USA,6460.344,1056649.139,0.116995059,0.000715307,0.611399324
United Arab Emirates,Australia,9660.075,941099.386,0.069245917,0.000710787,1.026467741
Sweden,Germany,8715.361,279955.074,0.022238411,0.00069231,3.113127102
Georgia,Brazil,2761.593,1987220.954,0.49538451,0.000688424,0.138967607
Israel,Poland,13889.727,355987.846,0.017630366,0.000687891,3.90173976
United Kingdom,Argentina,1045.249,623231.507,0.40577377,0.000680541,0.167714389
Switzerland,Austria,5687.591,96789.307,0.010657402,0.000626257,5.876263277
Norway,Germany,7840.035,279955.074,0.022238411,0.000622778,2.800460878
Peru,Brazil,2459.324,1987220.954,0.49538451,0.000613073,0.123756998
Colombia,USA,5444.224,1056649.139,0.116995059,0.000602799,0.515234579
Malaysia,New Zealand,3795.198,473179.422,0.075052496,0.000601968,0.802062599
Senegal,India,14358.38,943702.03,0.039250948,0.000597201,1.521494462
Switzerland,Germany,7162.391,279955.074,0.022238411,0.000568949,2.558406714
Kuwait,Paraguay,5312.434,338328.171,0.036215614,0.000568658,1.570201184
French Polynesia,Uruguay,1802.99,383468.309,0.120259804,0.000565437,0.470179546
Czechia,Poland,11343.409,355987.846,0.017630366,0.000561784,3.186456821
Singapore,Argentina,858.11,623231.507,0.40577377,0.000558699,0.137687313
Angola,Brazil,2209.934,1987220.954,0.49538451,0.000550904,0.111207353
Czechia,Netherlands,8647.477,412118.516,0.025941902,0.000544339,2.098300271
Costa Rica,Nicaragua,4627.164,117466.685,0.013772478,0.000542516,3.93913136
Bosnia Herzegovina,Netherlands,8567.566,412118.516,0.025941902,0.000539308,2.078906936
China,Canada,1047.929,439667.712,0.220850951,0.000526389,0.238345815
Bahrain,Pakistan,4050.456,76720.167,0.009946459,0.000525125,5.279517062
Portugal,Ireland,4973.249,371070.749,0.038906305,0.000521439,1.340242925
Switzerland,Uruguay,1651.516,383468.309,0.120259804,0.000517933,0.4306784
Paraguay,Brazil,2056.366,1987220.954,0.49538451,0.000512621,0.103479416
Chile,USA,4624.833,1056649.139,0.116995059,0.000512074,0.437688569
Philippines,Canada,1010.228,439667.712,0.220850951,0.000507451,0.229770801
Thailand,New Zealand,3166.473,473179.422,0.075052496,0.000502244,0.669190269
Austria,Netherlands,7935.997,412118.516,0.025941902,0.000499553,1.925660655
Portugal,Uruguay,1576.415,383468.309,0.120259804,0.000494381,0.411094134
"Other Asia, nes",Canada,984.132,439667.712,0.220850951,0.000494343,0.223835577
Croatia,Netherlands,7804.104,412118.516,0.025941902,0.00049125,1.893654521
Switzerland,Argentina,745.101,623231.507,0.40577377,0.000485121,0.119554549
Oman,United Arab Emirates,2993.103,36390.994,0.005838901,0.000480241,8.224852588
Greece,Poland,9635.982,355987.846,0.017630366,0.000477224,2.706829796
Brazil,"China, Hong Kong SAR",7832.61,44189.752,0.002686282,0.000476142,17.72494474
Czechia,Austria,4320.276,96789.307,0.010657402,0.000475703,4.463592534
Lebanon,India,11414.495,943702.03,0.039250948,0.000474758,1.209545308
Portugal,Argentina,721.633,623231.507,0.40577377,0.000469841,0.115788904
Kuwait,USA,4211.961,1056649.139,0.116995059,0.00046636,0.398615124
Netherlands,Italy,22379.314,134849.695,0.002788502,0.000462773,16.59575643
Poland,Germany,5762.928,279955.074,0.022238411,0.000457782,2.058519379
Cambodia,India,10920.373,943702.03,0.039250948,0.000454206,1.15718479
Croatia,Poland,8947.25,355987.846,0.017630366,0.000443114,2.513356785
French Polynesia,New Zealand,2786.619,473179.422,0.075052496,0.000441995,0.588914458
Denmark,Ireland,4215.426,371070.749,0.038906305,0.000441982,1.136016386
Greece,Germany,5560.563,279955.074,0.022238411,0.000441707,1.986234538
Qatar,India,10533.686,943702.03,0.039250948,0.000438123,1.116209983
Kyrgyzstan,Belarus,2139.07,45788.254,0.009252847,0.000432261,4.671654033
Singapore,USA,3877.288,1056649.139,0.116995059,0.000429304,0.366941992
Czechia,Germany,5327.291,279955.074,0.022238411,0.000423177,1.902910239
Israel,USA,3810.763,1056649.139,0.116995059,0.000421938,0.360646
France,Brazil,1687.359,1987220.954,0.49538451,0.000420633,0.084910406
Jordan,India,10026.345,943702.03,0.039250948,0.000417021,1.062448224
Denmark,Poland,8396.302,355987.846,0.017630366,0.000415828,2.35858972
Austria,Poland,8239.145,355987.846,0.017630366,0.000408045,2.314444295
Aruba,Brazil,1596.009,1987220.954,0.49538451,0.000397861,0.080313573
Japan,Poland,7974.776,355987.846,0.017630366,0.000394952,2.24018038
Germany,Spain,4842.208,221643.244,0.01796596,0.0003925,2.184687041
Sweden,Poland,7759.558,355987.846,0.017630366,0.000384294,2.179727863
Saudi Arabia,New Zealand,2379.185,473179.422,0.075052496,0.00037737,0.502808061
Bangladesh,India,9029.768,943702.03,0.039250948,0.000375571,0.956845679
"China, Hong Kong SAR",New Zealand,2364.288,473179.422,0.075052496,0.000375007,0.499659598
Israel,Spain,4613.583,221643.244,0.01796596,0.000373968,2.081536417
Gabon,Brazil,1484.249,1987220.954,0.49538451,0.000370001,0.074689659
United Arab Emirates,New Zealand,2315.465,473179.422,0.075052496,0.000367263,0.489341487
Germany,Denmark,17744.726,68477.261,0.00139181,0.000360664,25.91330713
New Zealand,Australia,4859.263,941099.386,0.069245917,0.000357544,0.516339469
Singapore,Australia,4821,941099.386,0.069245917,0.000354728,0.512272803
"China, Macao SAR","China, Hong Kong SAR",5812.073,44189.752,0.002686282,0.000353314,13.15252829
"China, Hong Kong SAR",Australia,4796.827,941099.386,0.069245917,0.00035295,0.509705143
United Arab Emirates,Canada,691.251,439667.712,0.220850951,0.000347225,0.157221419
USA,Costa Rica,5664.814,26728.16,0.001628467,0.00034514,21.19416605
Netherlands,Canada,684.567,439667.712,0.220850951,0.000343867,0.155700937
Peru,Argentina,525.644,623231.507,0.40577377,0.000342236,0.084341578
Montenegro,Brazil,1371.398,1987220.954,0.49538451,0.000341869,0.069010838
Iran,Brazil,1353.669,1987220.954,0.49538451,0.000337449,0.068118601
Australia,Brazil,1339.7,1987220.954,0.49538451,0.000333967,0.067415713
Portugal,Poland,6734.064,355987.846,0.017630366,0.000333506,1.891656702
Greece,Italy,16019.681,134849.695,0.002788502,0.000331264,11.87964004
Bahamas,USA,2943.472,1056649.139,0.116995059,0.000325909,0.278566465
Czechia,Argentina,494.537,623231.507,0.40577377,0.000321983,0.079350373
Portugal,Brazil,1290.512,1987220.954,0.49538451,0.000321705,0.064940464
Cura??ao,Brazil,1282.742,1987220.954,0.49538451,0.000319768,0.064549455
Italy,USA,2870.284,1056649.139,0.116995059,0.000317806,0.271640531
Bosnia Herzegovina,Poland,6412.249,355987.846,0.017630366,0.000317568,1.801255856
Thailand,Brazil,1268.352,1987220.954,0.49538451,0.000316181,0.063825371
"China, Hong Kong SAR",United Kingdom,4218.194,100651.479,0.007527597,0.000315473,4.190885883
Lithuania,Poland,6326.1,355987.846,0.017630366,0.000313301,1.777053295
Netherlands,Australia,4225.77,941099.386,0.069245917,0.000310931,0.449024309
Belgium,Spain,3816.17,221643.244,0.01796596,0.000309331,1.721761598
Switzerland,Ireland,2915.486,371070.749,0.038906305,0.000305685,0.785695275
Kuwait,India,7193.701,943702.03,0.039250948,0.000299204,0.762284773
Singapore,New Zealand,1879.718,473179.422,0.075052496,0.000298148,0.397252611
Rep. of Korea,Uruguay,930.764,383468.309,0.120259804,0.000291898,0.24272283
Costa Rica,USA,2633.2,1056649.139,0.116995059,0.000291555,0.249202832
"Other Asia, nes",Nicaragua,2465.461,117466.685,0.013772478,0.000289065,2.098859769
Bahrain,India,6948.742,943702.03,0.039250948,0.000289016,0.736328712
Germany,Italy,13956.34,134849.695,0.002788502,0.000288597,10.34953534
France,Austria,2611.025,96789.307,0.010657402,0.000287498,2.697636816
Papua New Guinea,Australia,3886.832,941099.386,0.069245917,0.000285992,0.413009189
T??rkiye,Uruguay,900.81,383468.309,0.120259804,0.000282504,0.234911409
Sweden,Brazil,1131.788,1987220.954,0.49538451,0.000282138,0.056953335
France,Italy,13564.04,134849.695,0.002788502,0.000280485,10.05862646
Czechia,Ireland,2672.613,371070.749,0.038906305,0.00028022,0.720243159
Norway,Uruguay,890.494,383468.309,0.120259804,0.000279269,0.2322214
Angola,Paraguay,2597.69,338328.171,0.036215614,0.000278064,0.767801424
Japan,United Kingdom,3654.716,100651.479,0.007527597,0.000273332,3.631065797
Chile,Colombia,5866.004,40115.598,0.001837644,0.000268714,14.62274521
Canada,Ireland,2549.379,371070.749,0.038906305,0.000267299,0.687032603
Spain,Austria,2398.33,96789.307,0.010657402,0.000264078,2.477883447
Russian Federation,India,6316.563,943702.03,0.039250948,0.000262722,0.669339248
Hungary,Poland,5203.973,355987.846,0.017630366,0.000257728,1.461841461
Netherlands,New Zealand,1622.358,473179.422,0.075052496,0.000257327,0.342862681
Poland,Austria,2319.538,96789.307,0.010657402,0.000255403,2.396484622
Denmark,Austria,2305.656,96789.307,0.010657402,0.000253874,2.382137786
Uzbekistan,Pakistan,1926.958,76720.167,0.009946459,0.000249822,2.51166772
Canada,Spain,3076.693,221643.244,0.01796596,0.000249391,1.388130665
Panama,USA,2244.98,1056649.139,0.116995059,0.00024857,0.212461964
Denmark,Uruguay,790.678,383468.309,0.120259804,0.000247965,0.206191089
Luxembourg,Belgium,3434.802,111310.97,0.007881141,0.000243194,3.085771464
Thailand,India,5757.987,943702.03,0.039250948,0.000239489,0.61014832
USA,Netherlands,3802.916,412118.516,0.025941902,0.000239385,0.922773511
Romania,Netherlands,3766.734,412118.516,0.025941902,0.000237107,0.913992351
Oman,India,5624.187,943702.03,0.039250948,0.000233924,0.595970319
Jamaica,Canada,465.387,439667.712,0.220850951,0.00023377,0.105849669
Bahrain,Brazil,936.071,1987220.954,0.49538451,0.000233349,0.047104622
North Macedonia,Austria,2117.489,96789.307,0.010657402,0.000233155,2.187728304
Portugal,France,3381.434,197278.824,0.013490778,0.000231237,1.714037545
Bosnia Herzegovina,Italy,11067.224,134849.695,0.002788502,0.000228855,8.207094705
Saudi Arabia,USA,2036.774,1056649.139,0.116995059,0.000225517,0.192757713
Congo,India,5389.386,943702.03,0.039250948,0.000224158,0.571089391
Italy,Canada,445.267,439667.712,0.220850951,0.000223664,0.101273732
Qatar,USA,2000.282,1056649.139,0.116995059,0.000221477,0.189304576
Iran,India,5268.48,943702.03,0.039250948,0.000219129,0.558276962
USA,Ireland,2081.134,371070.749,0.038906305,0.000218204,0.56084483
Spain,France,3180.699,197278.824,0.013490778,0.00021751,1.612286556
Morocco,Spain,2679.241,221643.244,0.01796596,0.000217174,1.208808213
Gabon,India,5176.408,943702.03,0.039250948,0.0002153,0.548521783
Hungary,Austria,1954.987,96789.307,0.010657402,0.000215262,2.019835603
Italy,Paraguay,2003.608,338328.171,0.036215614,0.000214472,0.592208653
Oman,Brazil,859.139,1987220.954,0.49538451,0.000214171,0.043233286
Slovakia,Poland,4298.166,355987.846,0.017630366,0.000212867,1.207388434
Belgium,Brazil,848.844,1987220.954,0.49538451,0.000211604,0.042715102
Germany,USA,1903.352,1056649.139,0.116995059,0.000210744,0.180130684
Bosnia Herzegovina,Germany,2638.592,279955.074,0.022238411,0.000209598,0.94250439
Jamaica,USA,1848.044,1056649.139,0.116995059,0.00020462,0.174896275
Rep. of Korea,"China, Hong Kong SAR",3354.3,44189.752,0.002686282,0.000203907,7.590677375
Croatia,Austria,1851.224,96789.307,0.010657402,0.000203837,1.912633116
Oman,Pakistan,1569.785,76720.167,0.009946459,0.000203516,2.046115105
Lebanon,Colombia,4418.685,40115.598,0.001837644,0.000202414,11.01486469
Italy,Denmark,9822.561,68477.261,0.00139181,0.000199645,14.34427113
Trinidad and Tobago,USA,1795.451,1056649.139,0.116995059,0.000198797,0.169919142
Tunisia,Brazil,787.649,1987220.954,0.49538451,0.000196349,0.039635676
"China, Macao SAR",Canada,390.706,439667.712,0.220850951,0.000196257,0.088864005
Belgium,Poland,3930.527,355987.846,0.017630366,0.00019466,1.104117748
Philippines,Spain,2400.979,221643.244,0.01796596,0.000194619,1.083265242
Romania,Germany,2420.922,279955.074,0.022238411,0.000192307,0.864751533
Israel,France,2794.024,197278.824,0.013490778,0.000191067,1.416278587
Portugal,Belgium,2693.994,111310.97,0.007881141,0.000190743,2.420246002
United Kingdom,Spain,2327.298,221643.244,0.01796596,0.000188646,1.050019036
Canada,United Kingdom,2507.56,100651.479,0.007527597,0.000187537,2.491326249
Azerbaijan,Belarus,917.684,45788.254,0.009252847,0.000185445,2.004193952
Japan,Ireland,1743.364,371070.749,0.038906305,0.00018279,0.469821023
Bosnia Herzegovina,Austria,1650.517,96789.307,0.010657402,0.000181737,1.705265505
Sweden,Denmark,8862.183,68477.261,0.00139181,0.000180125,12.94178085
Poland,Spain,2149.949,221643.244,0.01796596,0.000174271,0.970006613
Honduras,USA,1572.894,1056649.139,0.116995059,0.000174155,0.148856714
Barbados,Uruguay,551.624,383468.309,0.120259804,0.000172995,0.143851058
Spain,Italy,8362.861,134849.695,0.002788502,0.000172932,6.201609323
Kuwait,New Zealand,1082.369,473179.422,0.075052496,0.000171678,0.228743891
Egypt,Paraguay,1594.584,338328.171,0.036215614,0.000170689,0.471313285
Italy,United Kingdom,2280.814,100651.479,0.007527597,0.000170579,2.266048515
